file,odluka,razlog,zadnja_izmjena,schedule,dispatch,push
restore-iq200-index-now.yml,REMOVE,jednokratna oporavak intervencija,2026-07-17,False,True,False
restore-production-2059.yml,REMOVE,jednokratna oporavak intervencija,2026-07-17,False,True,False
runtime-contract-issue96.yml,REMOVE,"referencira specifican, vjerojatno zatvoren GitHub issue",2026-06-26,False,False,False
runtime-health-issue90.yml,REMOVE,"referencira specifican, vjerojatno zatvoren GitHub issue",2026-06-26,False,False,False
send-the-code-regional-mailstudio.yml,REMOVE,jednokratna kampanja slanja,2026-07-17,False,True,False
seo-audit-refresh.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-08,True,True,False
seo-knowledge-graph-contract.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-01,False,True,False
seo-news-cycle.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-04,True,True,False
set-pexels-secret.yml,REMOVE,jednokratno postavljanje tajne,2026-07-30,False,True,False
siroki-smoke.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-03,False,False,False
site-functional-readiness.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-07-18,False,False,True
site-health-check-v1.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-07,True,True,False
strengthen-objave-seo-v2.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-06,False,True,True
sync-webshop-products.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-07-29,True,True,False
test-media-command-center-v20.yml,REVIEW,testni/audit alat - provjeriti koristi li se jos,2026-07-05,False,True,False
test-portal-repair-v9.yml,REVIEW,testni/audit alat - provjeriti koristi li se jos,2026-07-05,False,True,False
test-public-visual-v13.yml,REVIEW,testni/audit alat - provjeriti koristi li se jos,2026-06-28,False,True,False
upload-correct-memorandum.yml,REMOVE,jednokratan upload specificne datoteke,2026-07-17,False,True,False
upload-media-pdf-issue92.yml,REMOVE,"referencira specifican, vjerojatno zatvoren GitHub issue",2026-06-26,False,False,False
validate-campaign-mailer.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-07-04,False,True,False
validate-command-center.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-07-04,False,False,False
validate-contact-idempotency.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-07-18,False,True,False
validate-index-news-retention-copy.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-07-18,False,True,False
validate-mail-autoreply-dedupe.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-07-19,False,True,False
validate-mail-mime-type.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-07-19,False,True,False
validate-market-primary-alias-runtime.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-07-18,False,True,False
validate-media-projects-v1.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-06-30,False,True,False
validate-minimum-index-contact-admin.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-06-28,False,True,False
validate-news-retention-contract.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-07-18,False,True,False
validate-newsroom-enqueue-auth.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-07-19,False,True,False
validate-production-authorization-contract.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-07-18,False,True,True
validate-production-hotfix-contact-market-mail.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-07-18,False,True,False
validate-verify-coinpaprika-upstream.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-07-18,False,False,False
verify-admin-center-live.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-06-26,False,True,True
verify-admin-mail-media-sms-live.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-06-27,False,True,True
verify-admin-shell-v7-quick.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-06-25,False,True,True
verify-admin-shell-v7.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-06-25,False,True,True
verify-ai-badge-guard-v17.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-06-25,False,True,True
verify-assistant-v14.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-06-25,False,True,True
verify-email-status-production.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-07-03,False,True,True
verify-email-tools-status-v6.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-07-03,False,True,True
verify-final-portal.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-06-28,False,True,True
verify-floating-home-v16-targeted.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-06-25,False,True,True
verify-floating-home-v16.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-06-25,False,True,True
verify-index-v26.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-06-26,False,False,False
verify-mail-delivery-v1.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-06-27,False,True,True
verify-production-v12-issue.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-06-25,False,True,True
verify-production-v12.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-06-25,False,True,True
verify-public-memorandum.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-07-17,False,True,False
verify-public-shell-lock-v17.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-06-25,False,True,True
verify-public-shell-v12.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-06-25,False,True,True
verify-public-shell-v13-now.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-06-25,False,True,True
verify-public-visual-v13-production.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-06-25,False,True,True
verify-single-menu-v15.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-06-25,False,True,True
verify-the-code-production.yml,REVIEW,verifikacija specificne znacajke - provjeriti relevantnost,2026-07-02,False,True,False
verify-v30-browser.yml,REMOVE,verzioniran jednokratni verify iz proslosti,2026-06-26,False,False,True
verify-v31-browser.yml,REMOVE,verzioniran jednokratni verify iz proslosti,2026-06-26,False,False,True
visual-index-news-images-live.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-07-17,False,True,False
warm-news-v16.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-06-26,False,False,True
workforce-production-smoke.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-08,False,True,False
workforce-runtime-health-truth.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-07,False,False,False
